ubigeo,departamento,provincia,distrito,organizacion_politica,cargo,nombres,apellido_paterno,apellido_materno,sexo,total_votos
040607,AREQUIPA,CONDESUYOS,YANAQUIHUA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,CONRADO VLADIMIRO,HUAMANI,URDAY,M,182.0
040607,AREQUIPA,CONDESUYOS,YANAQUIHUA,FRENTE INDEPENDIENTE CONDESUYOS PROGRESA,ALCALDE DISTRITAL,OSBAL JESUS,TORRES,GONZALES,M,123.0
040608,AREQUIPA,CONDESUYOS,RIO GRANDE,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,LUIS ALDRIN,CARDENAS,CARPIO,M,435.0
040608,AREQUIPA,CONDESUYOS,RIO GRANDE,FRENTE INDEPENDIENTE CONDESUYOS PROGRESA,ALCALDE DISTRITAL,PEDRO BERTHI,HUASHUAYO,CHAVEZ,M,412.0
040608,AREQUIPA,CONDESUYOS,RIO GRANDE,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,CESAR NAZARIO,CHIRINOS,TELLEZ,M,239.0
040608,AREQUIPA,CONDESUYOS,RIO GRANDE,FRENTE INDEPENDIENTE CONDESUYANO,ALCALDE DISTRITAL,SILVIO MOISES,GRANDA,REVILLA,M,70.0
040702,AREQUIPA,ISLAY,COCACHACRA,"AREQUIPA, TRADICION Y FUTURO",ALCALDE DISTRITAL,JUAN ALBERTO,GUILLEN,LOPEZ,M,1646.0
040702,AREQUIPA,ISLAY,COCACHACRA,ACCION POPULAR,ALCALDE DISTRITAL,VICTOR RAUL,PRADO,PERCA,M,1071.0
040702,AREQUIPA,ISLAY,COCACHACRA,PARTIDO NACIONALISTA PERUANO,ALCALDE DISTRITAL,ABEL GREGORIO,SUAREZ,RAMOS,M,1064.0
040702,AREQUIPA,ISLAY,COCACHACRA,COCACHACRA POR UN AUTENTICO DESARROLLO,ALCALDE DISTRITAL,JORGE LUIS,LLOSA,PALACIOS,M,508.0
040702,AREQUIPA,ISLAY,COCACHACRA,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,JUAN GUALBERTO,HERRERA,HURTADO,M,305.0
040702,AREQUIPA,ISLAY,COCACHACRA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,MANUEL RAUL,HUAYNA,NUÑEZ,M,215.0
040702,AREQUIPA,ISLAY,COCACHACRA,CONCERTACION EN PRO DE UNA MISION SOSTENIBLE,ALCALDE DISTRITAL,PEPE JULIO,GUTIERREZ,ZEBALLOS,M,91.0
040703,AREQUIPA,ISLAY,DEAN VALDIVIA,PARTIDO NACIONALISTA PERUANO,ALCALDE DISTRITAL,RICHARD HITLER,ALE,CRUZ,M,1281.0
040703,AREQUIPA,ISLAY,DEAN VALDIVIA,ACCION POPULAR,ALCALDE DISTRITAL,LUIS ANTONIO,VALDIVIA,NUÑEZ,M,812.0
040703,AREQUIPA,ISLAY,DEAN VALDIVIA,"AREQUIPA, TRADICION Y FUTURO",ALCALDE DISTRITAL,GUSTAVO SENEN,VELASQUEZ,GALLEGOS,M,799.0
040703,AREQUIPA,ISLAY,DEAN VALDIVIA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,VICTOR GUILLERMO,AMPUERO,TORANZO,M,481.0
040703,AREQUIPA,ISLAY,DEAN VALDIVIA,AREQUIPA AVANCEMOS,ALCALDE DISTRITAL,MANUEL GREGORIO,PAREDES,RAMOS,M,86.0
040704,AREQUIPA,ISLAY,ISLAY,ACCION POPULAR,ALCALDE DISTRITAL,FERNANDO BRUCE,ZUÑIGA,CHAVEZ,M,687.0
040704,AREQUIPA,ISLAY,ISLAY,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,VICTOR SATURNINO,PEÑARANDA,GUERRA,M,438.0
040704,AREQUIPA,ISLAY,ISLAY,MATARANI CORAZON,ALCALDE DISTRITAL,NALDY IRENE,FLORES,RAMOS,M,432.0
040704,AREQUIPA,ISLAY,ISLAY,"AREQUIPA, TRADICION Y FUTURO",ALCALDE DISTRITAL,CESAR AUGUSTO,FALLA,FAILOC,M,301.0
040705,AREQUIPA,ISLAY,MEJIA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,MARTA VIOLETA SOCORRO FRANCO,DE,ZIMMERMANN,F,264.0
040705,AREQUIPA,ISLAY,MEJIA,PARTIDO NACIONALISTA PERUANO,ALCALDE DISTRITAL,RODOLFO MARIANO,RIVERA,BARREDA,M,194.0
040705,AREQUIPA,ISLAY,MEJIA,MOVIMIENTO INDEPENDIENTE LEON DEL SUR,ALCALDE DISTRITAL,ADOLFO MIGUEL ANGEL,SALINAS,RONDON,M,148.0
040705,AREQUIPA,ISLAY,MEJIA,ACCION POPULAR,ALCALDE DISTRITAL,JOSE LUIS,VALDIVIA,DELGADO,M,134.0
040705,AREQUIPA,ISLAY,MEJIA,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,LUIS ALBERTO,DELGADO,CORRALES,M,132.0
040705,AREQUIPA,ISLAY,MEJIA,AREQUIPA AVANCEMOS,ALCALDE DISTRITAL,TEOFILO VICTOR,LLERENA,FLORES,M,29.0
040706,AREQUIPA,ISLAY,PUNTA DE BOMBON,PARTIDO NACIONALISTA PERUANO,ALCALDE DISTRITAL,GUILLERMO,MAMANI,COAQUIRA,M,1243.0
040706,AREQUIPA,ISLAY,PUNTA DE BOMBON,"AREQUIPA, TRADICION Y FUTURO",ALCALDE DISTRITAL,BUENAVENTURA JESUS,RODRIGUEZ,AMPUERO,M,975.0
040706,AREQUIPA,ISLAY,PUNTA DE BOMBON,ACCION POPULAR,ALCALDE DISTRITAL,HECTOR ABDUL,CONCHA,ASCUÑA,M,355.0
040706,AREQUIPA,ISLAY,PUNTA DE BOMBON,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,ALEJANDRO ENRIQUE,CORNEJO,BALLON,M,346.0
040706,AREQUIPA,ISLAY,PUNTA DE BOMBON,AREQUIPA AVANCEMOS,ALCALDE DISTRITAL,JULIO ERNESTO,HERRERA,ALVAREZ,M,339.0
040706,AREQUIPA,ISLAY,PUNTA DE BOMBON,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,OSCAR UBERTO,LLOSA,PALACIOS,M,243.0
040706,AREQUIPA,ISLAY,PUNTA DE BOMBON,AGRUPACION INDEPENDIENTE POR LA TRANSFORMACION Y EL DESARROLLO DE LA PUNTA DE BOMBON,ALCALDE DISTRITAL,VICTOR MANUEL,RIVERA,RIVERA,M,167.0
040802,AREQUIPA,LA UNION,ALCA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,BENJAMIN,BARRIOS,BELLIDO,M,294.0
040802,AREQUIPA,LA UNION,ALCA,AREQUIPA AVANCEMOS,ALCALDE DISTRITAL,MIGUEL ANGEL,MANRIQUE,VALVERDE,M,126.0
040802,AREQUIPA,LA UNION,ALCA,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,OSWALDO LUCAS,POLANCO,LOAYZA,M,119.0
040802,AREQUIPA,LA UNION,ALCA,JUNTOS POR EL SUR,ALCALDE DISTRITAL,GENARO NILO,TACO,FLORES,M,105.0
040802,AREQUIPA,LA UNION,ALCA,UNION POR EL PERU,ALCALDE DISTRITAL,VIDAL CIRILO,ATAHUALPA,SANCHEZ,M,87.0
040802,AREQUIPA,LA UNION,ALCA,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,ALCALDE DISTRITAL,JAIME,VERA,HUAMANI,M,23.0
040803,AREQUIPA,LA UNION,CHARCANA,"AREQUIPA, TRADICION Y FUTURO",ALCALDE DISTRITAL,JUVENAL ANGEL,LLERENA,PEREZ,M,84.0
040803,AREQUIPA,LA UNION,CHARCANA,JUNTOS POR EL SUR,ALCALDE DISTRITAL,ABELINO INDALECIO,RONCALLA,QUISPE,M,63.0
040803,AREQUIPA,LA UNION,CHARCANA,UNION POR EL PERU,ALCALDE DISTRITAL,ZENON CARLOS,CHUQUITAIPE,BRAVO,M,59.0
040803,AREQUIPA,LA UNION,CHARCANA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,BERNARDINO JOEL,LLERENA,PEREZ,M,51.0
040803,AREQUIPA,LA UNION,CHARCANA,PARTIDO NACIONALISTA PERUANO,ALCALDE DISTRITAL,AGRIPINO,EGUIA,MANSILLA,M,12.0
040803,AREQUIPA,LA UNION,CHARCANA,AREQUIPA AVANCEMOS,ALCALDE DISTRITAL,NERY FELICITAS,CUSI,VELASCO,F,10.0
040804,AREQUIPA,LA UNION,HUAYNACOTAS,JUNTOS POR EL SUR,ALCALDE DISTRITAL,EULOGIO,RODRIGUEZ,GONZALES,M,195.0
040804,AREQUIPA,LA UNION,HUAYNACOTAS,AREQUIPA AVANCEMOS,ALCALDE DISTRITAL,MERY MARTA,PARIGUANA,MONCCA,F,156.0
040804,AREQUIPA,LA UNION,HUAYNACOTAS,UNION POR EL PERU,ALCALDE DISTRITAL,RENE ABDON,MONCCA,CAMARGO,M,123.0
040804,AREQUIPA,LA UNION,HUAYNACOTAS,"AREQUIPA, TRADICION Y FUTURO",ALCALDE DISTRITAL,CESAR CONCEPCION,BELLIDO,ANGULO,M,111.0
040804,AREQUIPA,LA UNION,HUAYNACOTAS,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,GIL HONORATO,ANCULLE,ROMERO,M,82.0
040804,AREQUIPA,LA UNION,HUAYNACOTAS,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,DIONICIO DONALD,MARROQUIN,ROJAS,M,71.0
040805,AREQUIPA,LA UNION,PAMPAMARCA,AREQUIPA AVANCEMOS,ALCALDE DISTRITAL,LELIS ENRIQUE,LUDEÑA,BLAS,M,165.0
040805,AREQUIPA,LA UNION,PAMPAMARCA,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,GUZMAN JOAQUIN,CHIRINOS,HUAMANI,M,142.0
040805,AREQUIPA,LA UNION,PAMPAMARCA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,DIGVER ORIEL,LUDEÑA,ZANABRIA,M,131.0
040805,AREQUIPA,LA UNION,PAMPAMARCA,JUNTOS POR EL SUR,ALCALDE DISTRITAL,CARLOS,CERVANTES,RONDAN,M,68.0
040805,AREQUIPA,LA UNION,PAMPAMARCA,PARTIDO NACIONALISTA PERUANO,ALCALDE DISTRITAL,JUAN,BLAS,CERVANTES,M,34.0
040805,AREQUIPA,LA UNION,PAMPAMARCA,UNION POR EL PERU,ALCALDE DISTRITAL,ANDRES AVELINO,BORDA,CHIRINOS,M,30.0
040806,AREQUIPA,LA UNION,PUYCA,AREQUIPA AVANCEMOS,ALCALDE DISTRITAL,ANGEL EUGENIO,PACHAU,JIMENEZ,M,488.0
040806,AREQUIPA,LA UNION,PUYCA,UNION POR EL PERU,ALCALDE DISTRITAL,ANGEL VICENTE,LAJARA,TOTOCAYO,M,74.0
040806,AREQUIPA,LA UNION,PUYCA,ACCION POPULAR,ALCALDE DISTRITAL,HUMBERTO,ANCALLE,QUISPE,M,71.0
040806,AREQUIPA,LA UNION,PUYCA,PARTIDO NACIONALISTA PERUANO,ALCALDE DISTRITAL,ASUNCION,ANCALLE,JIMENEZ,M,62.0
040806,AREQUIPA,LA UNION,PUYCA,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,JOSE LUIS,CONDO,QUICO,M,36.0
040807,AREQUIPA,LA UNION,QUECHUALLA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,JOSE GUILLERMO,SEGOVIA,PEREZ,M,74.0
040807,AREQUIPA,LA UNION,QUECHUALLA,AREQUIPA AVANCEMOS,ALCALDE DISTRITAL,DEMETRIO DANIEL,HEREDIA,BUIZA,M,57.0
040807,AREQUIPA,LA UNION,QUECHUALLA,UNION POR EL PERU,ALCALDE DISTRITAL,NOE RONALD,PULCHA,MEDINA,F,53.0
040807,AREQUIPA,LA UNION,QUECHUALLA,PARTIDO NACIONALISTA PERUANO,ALCALDE DISTRITAL,AQUELINO BENITO,LOPEZ,ARISTA,M,38.0
040807,AREQUIPA,LA UNION,QUECHUALLA,JUNTOS POR EL SUR,ALCALDE DISTRITAL,WENCESLAO BEATO,CAMARGO,GONZALES,M,27.0
040807,AREQUIPA,LA UNION,QUECHUALLA,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,JESSICA,GUILLEN,MONTES,F,24.0
040808,AREQUIPA,LA UNION,SAYLA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,FELIX SANTOS,DAVALOS,DAVALOS,M,101.0
040808,AREQUIPA,LA UNION,SAYLA,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,FILIBERTO WALDO,FERNANDEZ,VILLAGOMEZ,M,46.0
040808,AREQUIPA,LA UNION,SAYLA,PARTIDO NACIONALISTA PERUANO,ALCALDE DISTRITAL,JUAN,ALVARADO,BAÑOS,M,26.0
040809,AREQUIPA,LA UNION,TAURIA,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,EFRAIN GUILLERMO,SANCHEZ,MEDINA,M,67.0
040809,AREQUIPA,LA UNION,TAURIA,"AREQUIPA, TRADICION Y FUTURO",ALCALDE DISTRITAL,FRANCISCO ANTONIO,MAYMA,LLAMOCA,M,44.0
040810,AREQUIPA,LA UNION,TOMEPAMPA,ACCION POPULAR,ALCALDE DISTRITAL,FRANCISCO PAUL,HINOJOSA,SOLIS,M,212.0
040810,AREQUIPA,LA UNION,TOMEPAMPA,AREQUIPA AVANCEMOS,ALCALDE DISTRITAL,ESTANISLAO EUGENIO,CONDO,CONDORI,M,109.0
040810,AREQUIPA,LA UNION,TOMEPAMPA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,JUAN FRANCISCO,CHIRINOS,HINOJOSA,M,27.0
040811,AREQUIPA,LA UNION,TORO,JUNTOS POR EL SUR,ALCALDE DISTRITAL,FRANCISCO ELIAS,TAPIA,MARTINEZ,M,120.0
040811,AREQUIPA,LA UNION,TORO,AREQUIPA AVANCEMOS,ALCALDE DISTRITAL,ELISEO GILBERTO,VILLAFUERTE,ESPINAL,M,94.0
040811,AREQUIPA,LA UNION,TORO,"AREQUIPA, TRADICION Y FUTURO",ALCALDE DISTRITAL,GUILLERMO ADALBERTO,MEJIA,CUEVA,M,35.0
040811,AREQUIPA,LA UNION,TORO,PARTIDO NACIONALISTA PERUANO,ALCALDE DISTRITAL,YURY QUINTIN,GORDILLO,CUEVA,M,23.0
040811,AREQUIPA,LA UNION,TORO,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,PEDRO PABLO,CARRASCO,MEJIA,M,22.0
040811,AREQUIPA,LA UNION,TORO,UNION POR EL PERU,ALCALDE DISTRITAL,BENJAMIN,AGUIRRE,FERNANDEZ,M,17.0
050102,AYACUCHO,HUAMANGA,ACOS VINCHOS,MOVIMIENTO INDEPENDIENTE INNOVACION REGIONAL,ALCALDE DISTRITAL,FLOR ROSMERI,PEREZ,BARRETO,F,401.0
050102,AYACUCHO,HUAMANGA,ACOS VINCHOS,AGRUPACION INDEPENDIENTE SI CUMPLE,ALCALDE DISTRITAL,JAVIER RICARDO,GARCIA,BARRIENTOS,M,377.0
050102,AYACUCHO,HUAMANGA,ACOS VINCHOS,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,VICTOR,CASTRO,CHUÑOCCA,M,352.0
050102,AYACUCHO,HUAMANGA,ACOS VINCHOS,UNION POR EL PERU,ALCALDE DISTRITAL,VALERIO,MELGAR,FLORES,M,351.0
050102,AYACUCHO,HUAMANGA,ACOS VINCHOS,PARTIDO RENACIMIENTO ANDINO,ALCALDE DISTRITAL,ESTEBAN,PAUCCA,GUTIERREZ,M,343.0
050102,AYACUCHO,HUAMANGA,ACOS VINCHOS,PARTIDO NACIONALISTA PERUANO,ALCALDE DISTRITAL,TEOFILO,HUAMAN,VARGAS,M,36.0
050102,AYACUCHO,HUAMANGA,ACOS VINCHOS,QATUN TARPUY,ALCALDE DISTRITAL,JUSTINIANO,CANCHARI,ARONI,M,21.0
050103,AYACUCHO,HUAMANGA,CARMEN ALTO,MOVIMIENTO INDEPENDIENTE INNOVACION REGIONAL,ALCALDE DISTRITAL,MARCELINO,PAUCCA,CANCHO,M,1389.0
050103,AYACUCHO,HUAMANGA,CARMEN ALTO,PARTIDO NACIONALISTA PERUANO,ALCALDE DISTRITAL,DIONISIO,MURILLO,GUTIERREZ,M,812.0
050103,AYACUCHO,HUAMANGA,CARMEN ALTO,MIVA - CARMEN ALTO,ALCALDE DISTRITAL,VICTOR MELQUIADES,BEIZAGA,PITA,M,571.0
050103,AYACUCHO,HUAMANGA,CARMEN ALTO,ALIANZA ELECTORAL UNIDAD NACIONAL,ALCALDE DISTRITAL,ARISTIDES,APAICO,PALOMINO,M,525.0
050103,AYACUCHO,HUAMANGA,CARMEN ALTO,AGRUPACION INDEPENDIENTE SI CUMPLE,ALCALDE DISTRITAL,MARCO ANTONIO,CHIPANA,GONZALES,M,472.0
050103,AYACUCHO,HUAMANGA,CARMEN ALTO,FRENTE REGIONAL AYACUCHO,ALCALDE DISTRITAL,EDGAR ELVER,CHAVEZ,ARONES,M,417.0
050103,AYACUCHO,HUAMANGA,CARMEN ALTO,UNION POR EL PERU,ALCALDE DISTRITAL,ULISES,AVILES,LOPEZ,M,374.0
050103,AYACUCHO,HUAMANGA,CARMEN ALTO,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,EDUARDO MAURO,APAICO,ASTO,M,336.0
050103,AYACUCHO,HUAMANGA,CARMEN ALTO,ACCION POPULAR,ALCALDE DISTRITAL,WALTER RICHARD,ATAURIMA,ATAURIMA,M,298.0
050103,AYACUCHO,HUAMANGA,CARMEN ALTO,ALIANZA PARA EL PROGRESO,ALCALDE DISTRITAL,MAXIMO ANGEL,GUILLEN,MALDONADO,M,283.0
050103,AYACUCHO,HUAMANGA,CARMEN ALTO,QATUN TARPUY,ALCALDE DISTRITAL,HILARION,YARASCA,QUISPE,M,256.0
050104,AYACUCHO,HUAMANGA,CHIARA,FRENTE REGIONAL AYACUCHO,ALCALDE DISTRITAL,JUAN RUBEN,AYALA,BAUTISTA,M,495.0
050104,AYACUCHO,HUAMANGA,CHIARA,PARTIDO RENACIMIENTO ANDINO,ALCALDE DISTRITAL,TEODORO,GOMEZ,HUAYTALLA,M,368.0
050104,AYACUCHO,HUAMANGA,CHIARA,AGRUPACION INDEPENDIENTE SI CUMPLE,ALCALDE DISTRITAL,FILOMENA,MALDONADO,NUÑEZ,F,296.0
050104,AYACUCHO,HUAMANGA,CHIARA,PARTIDO NACIONALISTA PERUANO,ALCALDE DISTRITAL,MARIO,GOMEZ,TENORIO,M,253.0
050104,AYACUCHO,HUAMANGA,CHIARA,PERU POSIBLE,ALCALDE DISTRITAL,JAVIER,RAMIREZ,MENDEZ,M,102.0
050104,AYACUCHO,HUAMANGA,CHIARA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,JESUS,PRADO,AYALA,M,89.0
050104,AYACUCHO,HUAMANGA,CHIARA,MOVIMIENTO INDEPENDIENTE INNOVACION REGIONAL,ALCALDE DISTRITAL,DANIEL VICTORIANO,VELARDE,MENDOZA,M,47.0
050104,AYACUCHO,HUAMANGA,CHIARA,UNION POR EL PERU,ALCALDE DISTRITAL,DEMETRIO,BARRIOS,PALOMINO,M,31.0
050105,AYACUCHO,HUAMANGA,QUINUA,QATUN TARPUY,ALCALDE DISTRITAL,OTILIA MARTHA,CHAVEZ,GUTIERREZ,F,661.0
050105,AYACUCHO,HUAMANGA,QUINUA,AGRUPACION INDEPENDIENTE SI CUMPLE,ALCALDE DISTRITAL,PEDRO,BELLIDO,ROJAS,M,585.0
050105,AYACUCHO,HUAMANGA,QUINUA,MOVIMIENTO INDEPENDIENTE INNOVACION REGIONAL,ALCALDE DISTRITAL,SUSANO,MENDOZA,PAREJA,M,461.0
050105,AYACUCHO,HUAMANGA,QUINUA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,LEONIDAS CAYO,RODRIGUEZ,QUISPE,M,350.0
050105,AYACUCHO,HUAMANGA,QUINUA,PARTIDO NACIONALISTA PERUANO,ALCALDE DISTRITAL,FELIX RAUL,LIMACO,SOTO,M,271.0
050105,AYACUCHO,HUAMANGA,QUINUA,UNION POR EL PERU,ALCALDE DISTRITAL,PABLO,JERI,QUINTANILLA,M,92.0
050105,AYACUCHO,HUAMANGA,QUINUA,FRENTE REGIONAL AYACUCHO,ALCALDE DISTRITAL,VICTOR,CHAVEZ,CORAS,M,76.0
050106,AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,ALIANZA PARA EL PROGRESO,ALCALDE DISTRITAL,EDGAR,SULCA,LEON,M,157.0
050106,AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,UNION POR EL PERU,ALCALDE DISTRITAL,BAILON,SULCA,ICHCAS,M,142.0
050106,AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,FRENTE REGIONAL AYACUCHO,ALCALDE DISTRITAL,BENJAMIN,SILVA,HUAMAN,M,138.0
050106,AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,PARTIDO NACIONALISTA PERUANO,ALCALDE DISTRITAL,ALFREDO,QUISPE,JAUREGUI,M,116.0
050106,AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,AGRUPACION INDEPENDIENTE SI CUMPLE,ALCALDE DISTRITAL,FILOMENO,MENESES,TAYPE,M,76.0
050106,AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,ACCION POPULAR,ALCALDE DISTRITAL,JAIME,PALACIOS,YANCE,M,49.0
050106,AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,MOVIMIENTO INDEPENDIENTE INNOVACION REGIONAL,ALCALDE DISTRITAL,FILOMENO,GALVEZ,SANCHEZ,M,46.0
050106,AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,SIEMPRE UNIDOS,ALCALDE DISTRITAL,ISAIAS,CCONISLLA,ARAMBURU,M,40.0
050106,AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,CELESTINO,YUCRA,ABREGU,M,26.0
050107,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,UNIDOS POR EL DESARROLLO DE SAN JUAN,ALCALDE DISTRITAL,SALOMON HUGO,AEDO,MENDOZA,M,3496.0
050107,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,FRENTE REGIONAL AYACUCHO,ALCALDE DISTRITAL,MAGNO,ORTEGA,QUISPE,M,2078.0
050107,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,MOVIMIENTO INDEPENDIENTE INNOVACION REGIONAL,ALCALDE DISTRITAL,WILMER VICENTE,PRADO,ESTRELLA,M,1717.0
050107,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,PARTIDO NACIONALISTA PERUANO,ALCALDE DISTRITAL,HUGO,AYALA,PRADO,M,1543.0
050107,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,AGRUPACION INDEPENDIENTE SI CUMPLE,ALCALDE DISTRITAL,VICTOR,CURI,LEON,M,1221.0
050107,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,ALEJANDRO HUMBERTO,ZAGA,BENDEZU,M,862.0
050107,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,QATUN TARPUY,ALCALDE DISTRITAL,RAUL HANE,VILCA,TORRES,M,685.0
050107,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,ACCION POPULAR,ALCALDE DISTRITAL,FRANCISCO,LLALLAHUI,QUISPE,M,617.0
050107,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,UNION POR EL PERU,ALCALDE DISTRITAL,FABIAN PAULINO,BAEZ,SOTO,M,615.0
050107,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,PARTIDO RENACIMIENTO ANDINO,ALCALDE DISTRITAL,MIGUEL ANGEL,BERROCAL,HUAMAN,M,352.0
050107,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,ALIANZA ELECTORAL UNIDAD NACIONAL,ALCALDE DISTRITAL,VIDAL,NAJARRO,JAULIS,M,180.0
050108,AYACUCHO,HUAMANGA,SANTIAGO DE PISCHA,UNION POR EL PERU,ALCALDE DISTRITAL,PELAYO,SANTIAGO,PAREJA,M,145.0
050108,AYACUCHO,HUAMANGA,SANTIAGO DE PISCHA,PARTIDO RENACIMIENTO ANDINO,ALCALDE DISTRITAL,ADRIAN,ROJAS,CASTRO,M,86.0
050108,AYACUCHO,HUAMANGA,SANTIAGO DE PISCHA,SIEMPRE UNIDOS,ALCALDE DISTRITAL,POLICARPO,QUISPE,HUACACHI,M,76.0
050108,AYACUCHO,HUAMANGA,SANTIAGO DE PISCHA,AGRUPACION INDEPENDIENTE SI CUMPLE,ALCALDE DISTRITAL,MARINO,HUALLANCA,CONDORI,M,41.0
050108,AYACUCHO,HUAMANGA,SANTIAGO DE PISCHA,MOVIMIENTO INDEPENDIENTE INNOVACION REGIONAL,ALCALDE DISTRITAL,JUAN,SARAS,ALBUJAR,M,38.0
050109,AYACUCHO,HUAMANGA,VINCHOS,PARTIDO RENACIMIENTO ANDINO,ALCALDE DISTRITAL,PAULINO,ORE,FLORES,M,1308.0
050109,AYACUCHO,HUAMANGA,VINCHOS,UNION POR EL PERU,ALCALDE DISTRITAL,VICTOR,ARANGO,PALOMINO,M,1036.0
050109,AYACUCHO,HUAMANGA,VINCHOS,QATUN TARPUY,ALCALDE DISTRITAL,JAVIER DEL,SOLAR,RETAMOZO,M,986.0
050109,AYACUCHO,HUAMANGA,VINCHOS,MOVIMIENTO INDEPENDIENTE INNOVACION REGIONAL,ALCALDE DISTRITAL,RAMIRO,LLAMOCCA,RODRIGUEZ,M,829.0
050109,AYACUCHO,HUAMANGA,VINCHOS,AGRUPACION INDEPENDIENTE SI CUMPLE,ALCALDE DISTRITAL,ANTONIO,ROJAS,LLANTOY,M,583.0
050109,AYACUCHO,HUAMANGA,VINCHOS,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,ALCALDE DISTRITAL,EUSTAQUIO,VALLEJO,CUTTI,M,
050109,AYACUCHO,HUAMANGA,VINCHOS,PARTIDO NACIONALISTA PERUANO,ALCALDE DISTRITAL,ARMANDO,QUISPE,FLORES,M,101.0
050109,AYACUCHO,HUAMANGA,VINCHOS,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,CAYO RITO,LAINES,ORIHUELA,M,79.0
050109,AYACUCHO,HUAMANGA,VINCHOS,FRENTE REGIONAL AYACUCHO,ALCALDE DISTRITAL,MANUEL,ATAUQUI,PALOMINO,M,68.0
050110,AYACUCHO,HUAMANGA,TAMBILLO,MOVIMIENTO INDEPENDIENTE INNOVACION REGIONAL,ALCALDE DISTRITAL,ARTURO,QUISPE,SOLORZANO,M,580.0
050110,AYACUCHO,HUAMANGA,TAMBILLO,PARTIDO RENACIMIENTO ANDINO,ALCALDE DISTRITAL,ALFONZO,HUAMAN,FLORES,M,447.0
050110,AYACUCHO,HUAMANGA,TAMBILLO,FRENTE REGIONAL AYACUCHO,ALCALDE DISTRITAL,NESTOR,CURAHUA,ANAYA,M,329.0
050110,AYACUCHO,HUAMANGA,TAMBILLO,AGRUPACION INDEPENDIENTE SI CUMPLE,ALCALDE DISTRITAL,HIPOLITO,CARDENAS,ANAYA,M,206.0
050110,AYACUCHO,HUAMANGA,TAMBILLO,PARTIDO NACIONALISTA PERUANO,ALCALDE DISTRITAL,HECTOR LEONARDO YUPANQUI DE,LA,CRUZ,M,140.0
050110,AYACUCHO,HUAMANGA,TAMBILLO,UNION POR EL PERU,ALCALDE DISTRITAL,HILARIO,QUISPE,ROJAS,M,139.0
